# Measured transfer FRF for the exponentially tapered rod - accelerance in m/(s^2 N)
# frequency(Hz) real(accelerance) imag(accelerance)
1.00000e+02 2.13537e-01 -5.17511e-03
1.00780e+02 3.06650e-01 7.24382e-02
1.01560e+02 2.00666e-01 -1.71827e-02
1.02340e+02 1.76605e-01 -6.72623e-02
1.03130e+02 1.90119e-01 -1.29517e-02
1.03910e+02 2.22802e-01 -4.12941e-03
1.04690e+02 2.04635e-01 9.59880e-03
1.05470e+02 2.07423e-01 -1.34702e-02
1.06250e+02 2.18719e-01 9.36745e-03
1.07030e+02 2.10878e-01 -1.74604e-02
1.07810e+02 1.84206e-01 -4.85931e-03
1.08590e+02 2.16039e-01 4.19569e-03
1.09380e+02 2.00268e-01 -6.71214e-03
1.10160e+02 2.01255e-01 -1.14485e-02
1.10940e+02 2.23217e-01 -1.04134e-02
1.11720e+02 1.88701e-01 6.42405e-03
1.12500e+02 2.04068e-01 -2.55410e-02
1.13280e+02 2.22504e-01 -2.38664e-02
1.14060e+02 1.88427e-01 -2.87667e-02
1.14840e+02 1.58645e-01 2.16955e-03
1.15630e+02 1.73099e-01 -4.85682e-04
1.16410e+02 1.81590e-01 -1.76988e-02
1.17190e+02 2.04966e-01 -3.90883e-02
1.17970e+02 2.11470e-01 5.82415e-03
1.18750e+02 1.92990e-01 -1.97289e-03
1.19530e+02 1.74249e-01 -1.49592e-02
1.20310e+02 1.87770e-01 -1.22673e-02
1.21090e+02 2.01192e-01 1.25032e-02
1.21880e+02 2.11218e-01 -9.67256e-04
1.22660e+02 1.82831e-01 1.16159e-02
1.23440e+02 1.83440e-01 -9.77836e-03
1.24220e+02 2.17002e-01 -1.01630e-02
1.25000e+02 2.24326e-01 8.03396e-03
1.25780e+02 1.72006e-01 -4.67659e-03
1.26560e+02 2.02011e-01 -1.44867e-02
1.27340e+02 1.84562e-01 -2.07949e-02
1.28130e+02 1.89376e-01 -1.86325e-02
1.28910e+02 1.98314e-01 2.07852e-02
1.29690e+02 1.82836e-01 4.57386e-02
1.30470e+02 1.94732e-01 -1.24617e-02
1.31250e+02 1.87169e-01 5.56552e-04
1.32030e+02 1.76254e-01 2.38602e-03
1.32810e+02 2.01000e-01 -1.26828e-02
1.33590e+02 1.98768e-01 1.62328e-02
1.34380e+02 2.22073e-01 2.15948e-02
1.35160e+02 2.14207e-01 3.11352e-03
1.35940e+02 1.87218e-01 2.36059e-02
1.36720e+02 1.99386e-01 -2.90407e-02
1.37500e+02 1.74512e-01 -1.65344e-03
1.38280e+02 2.16066e-01 4.38408e-03
1.39060e+02 2.22112e-01 5.49153e-03
1.39840e+02 1.92669e-01 9.43960e-03
1.40630e+02 2.11312e-01 -4.97171e-03
1.41410e+02 1.97958e-01 -8.50178e-03
1.42190e+02 1.72561e-01 -1.57738e-02
1.42970e+02 2.06550e-01 -1.98659e-03
1.43750e+02 2.28112e-01 -4.66277e-03
1.44530e+02 2.19249e-01 -2.17811e-03
1.45310e+02 1.90911e-01 8.03792e-03
1.46090e+02 2.17794e-01 -2.67345e-03
1.46880e+02 2.04840e-01 7.58738e-03
1.47660e+02 2.22409e-01 1.55204e-02
1.48440e+02 2.04470e-01 3.82669e-04
1.49220e+02 2.15073e-01 2.63368e-02
1.50000e+02 2.15462e-01 1.88922e-03
1.50780e+02 1.99370e-01 1.14415e-04
1.51560e+02 1.99817e-01 2.72007e-02
1.52340e+02 2.07303e-01 -3.90369e-03
1.53130e+02 2.02589e-01 5.71757e-03
1.53910e+02 1.95591e-01 -6.83667e-03
1.54690e+02 2.15000e-01 6.88360e-03
1.55470e+02 1.95974e-01 1.27700e-02
1.56250e+02 2.18060e-01 2.76034e-02
1.57030e+02 2.10273e-01 -8.87884e-03
1.57810e+02 1.94117e-01 1.41219e-02
1.58590e+02 1.99969e-01 1.79203e-02
1.59380e+02 2.13067e-01 1.07022e-03
1.60160e+02 1.99264e-01 1.53121e-03
1.60940e+02 1.99707e-01 1.00639e-02
1.61720e+02 2.17557e-01 2.38835e-03
1.62500e+02 1.74818e-01 7.38720e-04
1.63280e+02 2.05483e-01 5.24977e-03
1.64060e+02 2.17012e-01 -3.49631e-03
1.64840e+02 2.37936e-01 -7.05262e-03
1.65630e+02 2.08090e-01 -5.38326e-03
1.66410e+02 2.02354e-01 4.29702e-03
1.67190e+02 2.16537e-01 -1.16461e-02
1.67970e+02 1.84229e-01 1.15432e-02
1.68750e+02 1.84830e-01 -1.08819e-02
1.69530e+02 2.11994e-01 5.67271e-03
1.70310e+02 2.09982e-01 1.37239e-02
1.71090e+02 2.33854e-01 -1.42916e-02
1.71880e+02 2.11187e-01 1.10460e-03
1.72660e+02 2.11241e-01 4.07041e-03
1.73440e+02 2.12844e-01 -1.08474e-02
1.74220e+02 2.00926e-01 -4.65719e-03
1.75000e+02 1.95150e-01 -2.39964e-02
1.75780e+02 2.04448e-01 -8.75593e-04
1.76560e+02 1.93310e-01 -2.35107e-04
1.77340e+02 1.86830e-01 1.95094e-03
1.78130e+02 2.10983e-01 1.66611e-02
1.78910e+02 2.17023e-01 -6.13744e-03
1.79690e+02 1.99263e-01 -1.17648e-02
1.80470e+02 2.16421e-01 -2.89921e-03
1.81250e+02 1.71961e-01 -1.80944e-02
1.82030e+02 1.95703e-01 1.42369e-02
1.82810e+02 2.03965e-01 7.14720e-03
1.83590e+02 1.97335e-01 -4.20594e-03
1.84380e+02 1.86817e-01 5.90196e-03
1.85160e+02 1.94370e-01 9.66305e-03
1.85940e+02 1.89696e-01 -8.35761e-03
1.86720e+02 1.71999e-01 1.23251e-02
1.87500e+02 1.70831e-01 -3.66251e-03
1.88280e+02 1.89993e-01 -3.17495e-03
1.89060e+02 1.96762e-01 -5.17748e-03
1.89840e+02 1.79936e-01 -1.80599e-02
1.90630e+02 1.94060e-01 -6.40682e-05
1.91410e+02 1.87205e-01 1.24699e-02
1.92190e+02 1.81753e-01 2.15817e-02
1.92970e+02 1.69144e-01 2.79051e-02
1.93750e+02 1.65076e-01 4.11582e-02
1.94530e+02 1.88588e-01 6.87260e-02
1.95310e+02 2.14154e-01 4.72730e-02
1.96090e+02 2.39310e-01 5.63721e-02
1.96880e+02 2.42808e-01 2.12938e-02
1.97660e+02 2.45260e-01 1.61392e-02
1.98440e+02 2.35846e-01 7.64786e-03
1.99220e+02 2.25438e-01 1.85498e-02
2.00000e+02 2.06310e-01 8.38147e-03
2.00780e+02 2.37665e-01 1.10105e-02
2.01560e+02 2.17526e-01 7.64254e-03
2.02340e+02 2.20843e-01 6.20149e-03
2.03130e+02 2.01325e-01 9.92571e-03
2.03910e+02 2.22880e-01 2.95058e-03
2.04690e+02 2.02494e-01 5.17164e-03
2.05470e+02 2.12210e-01 3.39579e-04
2.06250e+02 1.97864e-01 6.78301e-03
2.07030e+02 2.15968e-01 9.56232e-03
2.07810e+02 2.21989e-01 -9.67751e-03
2.08590e+02 1.97879e-01 5.31020e-03
2.09380e+02 1.93308e-01 -1.00642e-02
2.10160e+02 2.20976e-01 2.52177e-03
2.10940e+02 2.02280e-01 -1.22437e-02
2.11720e+02 2.25754e-01 9.64071e-03
2.12500e+02 2.09979e-01 -3.61087e-03
2.13280e+02 2.41231e-01 -1.27872e-02
2.14060e+02 2.07292e-01 9.06904e-03
2.14840e+02 2.04345e-01 -7.13733e-03
2.15630e+02 2.33881e-01 -2.97434e-03
2.16410e+02 2.11577e-01 -1.53019e-02
2.17190e+02 2.21163e-01 -1.10713e-02
2.17970e+02 2.12281e-01 -6.49503e-03
2.18750e+02 2.30234e-01 -9.00487e-03
2.19530e+02 2.12629e-01 -7.90684e-04
2.20310e+02 2.11654e-01 2.28103e-02
2.21090e+02 1.94241e-01 -2.05972e-02
2.21880e+02 2.09690e-01 -2.65985e-04
2.22660e+02 2.22234e-01 -3.25821e-02
2.23440e+02 2.13257e-01 1.22009e-03
2.24220e+02 2.23957e-01 -6.45558e-03
2.25000e+02 2.14488e-01 -4.22924e-03
2.25780e+02 2.26729e-01 -7.91633e-04
2.26560e+02 1.99130e-01 -3.12452e-04
2.27340e+02 1.97220e-01 2.80109e-03
2.28130e+02 2.13871e-01 1.25725e-02
2.28910e+02 2.06759e-01 7.89230e-03
2.29690e+02 2.11557e-01 -1.68910e-02
2.30470e+02 2.21020e-01 -1.54556e-02
2.31250e+02 2.04649e-01 -1.76694e-02
2.32030e+02 2.19751e-01 4.12582e-03
2.32810e+02 2.04062e-01 -4.86636e-03
2.33590e+02 2.13005e-01 9.79320e-03
2.34380e+02 1.82815e-01 1.69573e-02
2.35160e+02 1.96186e-01 -1.64024e-02
2.35940e+02 2.10510e-01 -1.21497e-02
2.36720e+02 2.23206e-01 -3.30603e-03
2.37500e+02 2.08239e-01 7.39631e-03
2.38280e+02 2.11398e-01 4.23104e-03
2.39060e+02 2.00055e-01 -1.42244e-03
2.39840e+02 2.05958e-01 1.00169e-03
2.40630e+02 2.15744e-01 1.63491e-03
2.41410e+02 2.00173e-01 -7.13186e-03
2.42190e+02 2.08292e-01 4.48384e-03
2.42970e+02 1.96070e-01 1.22079e-02
2.43750e+02 2.20399e-01 8.15755e-03
2.44530e+02 2.06584e-01 1.55418e-03
2.45310e+02 2.03337e-01 3.06559e-03
2.46090e+02 1.85909e-01 -9.06645e-03
2.46880e+02 1.97007e-01 -1.01882e-02
2.47660e+02 2.13807e-01 -3.15230e-03
2.48440e+02 1.38007e-01 -1.87844e-02
2.49220e+02 2.01660e-01 -1.18914e-02
2.50000e+02 2.24620e-01 1.23620e-02
2.50780e+02 2.08856e-01 -5.17618e-03
2.51560e+02 2.05720e-01 1.01352e-02
2.52340e+02 2.19698e-01 -7.61942e-03
2.53130e+02 2.24421e-01 -1.03671e-02
2.53910e+02 1.95894e-01 -5.09544e-03
2.54690e+02 1.94037e-01 -1.58082e-02
2.55470e+02 2.20726e-01 2.47381e-03
2.56250e+02 2.23814e-01 1.07079e-02
2.57030e+02 2.11543e-01 -3.97503e-03
2.57810e+02 2.23878e-01 9.25632e-04
2.58590e+02 1.97414e-01 1.56140e-03
2.59380e+02 1.85309e-01 -2.66797e-02
2.60160e+02 2.25652e-01 -7.30507e-03
2.60940e+02 2.24957e-01 2.41870e-03
2.61720e+02 1.93438e-01 -7.91503e-03
2.62500e+02 2.02787e-01 -6.46991e-03
2.63280e+02 2.08812e-01 -6.70301e-03
2.64060e+02 2.08629e-01 6.81704e-03
2.64840e+02 2.03070e-01 -2.95146e-04
2.65630e+02 2.09386e-01 5.55063e-03
2.66410e+02 2.29320e-01 2.08791e-03
2.67190e+02 2.24817e-01 -1.18758e-02
2.67970e+02 2.28546e-01 2.49874e-03
2.68750e+02 2.18264e-01 1.60425e-03
2.69530e+02 2.10201e-01 7.90832e-03
2.70310e+02 2.12409e-01 7.28993e-04
2.71090e+02 2.28229e-01 -5.59981e-04
2.71880e+02 2.05520e-01 7.01245e-03
2.72660e+02 2.03519e-01 1.30954e-02
2.73440e+02 2.09629e-01 5.90848e-04
2.74220e+02 1.86637e-01 2.95483e-03
2.75000e+02 2.22665e-01 -1.27627e-02
