# Measured input FRF for the exponentially tapered rod - accelerance in m/(s^2 N)
# frequency(Hz) real(accelerance) imag(accelerance)
1.00000e+02 2.08800e-01 5.21095e-03
1.00780e+02 2.04470e-01 4.79275e-03
1.01560e+02 2.03256e-01 2.59360e-03
1.02340e+02 2.01708e-01 3.46975e-03
1.03130e+02 2.01023e-01 8.31368e-04
1.03910e+02 2.02866e-01 2.66591e-03
1.04690e+02 2.02187e-01 -6.33921e-04
1.05470e+02 2.02312e-01 -1.67694e-04
1.06250e+02 2.02274e-01 -9.30110e-05
1.07030e+02 2.05478e-01 9.46361e-04
1.07810e+02 2.07220e-01 2.25209e-03
1.08590e+02 2.05960e-01 8.71711e-04
1.09380e+02 2.02386e-01 1.68792e-03
1.10160e+02 2.01370e-01 -2.59042e-03
1.10940e+02 2.02706e-01 1.62282e-04
1.11720e+02 2.01208e-01 -2.79826e-04
1.12500e+02 2.06782e-01 -6.33807e-04
1.13280e+02 2.03215e-01 -3.84087e-03
1.14060e+02 2.00962e-01 -2.20374e-03
1.14840e+02 2.04576e-01 5.19584e-04
1.15630e+02 2.04788e-01 3.53379e-04
1.16410e+02 2.01449e-01 -5.74177e-04
1.17190e+02 2.06696e-01 -2.49601e-03
1.17970e+02 1.98338e-01 3.32533e-03
1.18750e+02 2.02309e-01 -1.76833e-03
1.19530e+02 1.99006e-01 1.15057e-03
1.20310e+02 1.99279e-01 1.61575e-03
1.21090e+02 2.01856e-01 2.69471e-03
1.21880e+02 2.02074e-01 -6.59522e-04
1.22660e+02 2.03359e-01 -9.27912e-04
1.23440e+02 2.00570e-01 -1.13991e-04
1.24220e+02 2.06270e-01 -3.92848e-03
1.25000e+02 1.99870e-01 -1.27800e-03
1.25780e+02 2.00903e-01 1.10999e-03
1.26560e+02 1.99399e-01 -7.39404e-04
1.27340e+02 2.02806e-01 7.52745e-04
1.28130e+02 2.01653e-01 2.30498e-04
1.28910e+02 2.01016e-01 3.13047e-03
1.29690e+02 2.03038e-01 3.38384e-03
1.30470e+02 2.01497e-01 9.66148e-04
1.31250e+02 2.02759e-01 6.71952e-04
1.32030e+02 1.99877e-01 9.17591e-04
1.32810e+02 2.02730e-01 2.98884e-04
1.33590e+02 2.02581e-01 -3.49708e-03
1.34380e+02 2.01466e-01 1.65071e-03
1.35160e+02 2.02835e-01 1.03398e-03
1.35940e+02 2.01158e-01 2.17323e-03
1.36720e+02 2.04464e-01 1.83037e-03
1.37500e+02 2.01986e-01 -7.27004e-04
1.38280e+02 2.03710e-01 1.65810e-03
1.39060e+02 2.03978e-01 8.27077e-04
1.39840e+02 2.02120e-01 1.22161e-03
1.40630e+02 2.05559e-01 1.03768e-03
1.41410e+02 2.01307e-01 -6.14532e-05
1.42190e+02 2.02869e-01 6.73065e-04
1.42970e+02 2.02835e-01 2.86283e-03
1.43750e+02 2.05452e-01 1.75918e-03
1.44530e+02 2.01563e-01 -2.66499e-04
1.45310e+02 2.02127e-01 -3.23234e-03
1.46090e+02 2.01644e-01 -2.13467e-03
1.46880e+02 2.02693e-01 6.82952e-04
1.47660e+02 2.06121e-01 1.59335e-03
1.48440e+02 2.05283e-01 5.18783e-04
1.49220e+02 2.01875e-01 -1.98773e-03
1.50000e+02 1.89374e-01 -1.13333e-02
1.50780e+02 2.02697e-01 4.33123e-04
1.51560e+02 2.04646e-01 3.66939e-04
1.52340e+02 2.02329e-01 1.89623e-03
1.53130e+02 2.01510e-01 4.46516e-04
1.53910e+02 2.01584e-01 -1.79422e-03
1.54690e+02 2.01708e-01 2.61881e-03
1.55470e+02 2.00252e-01 3.28884e-03
1.56250e+02 2.02397e-01 1.45766e-03
1.57030e+02 2.00596e-01 1.60551e-04
1.57810e+02 2.04842e-01 2.79039e-03
1.58590e+02 2.02907e-01 1.62450e-03
1.59380e+02 2.01041e-01 1.44072e-03
1.60160e+02 2.03085e-01 -6.46857e-04
1.60940e+02 2.03234e-01 9.93449e-04
1.61720e+02 2.04334e-01 -4.42918e-04
1.62500e+02 2.02602e-01 5.16343e-04
1.63280e+02 2.02214e-01 5.86104e-04
1.64060e+02 2.03653e-01 1.17678e-03
1.64840e+02 2.02490e-01 -1.28638e-05
1.65630e+02 2.03579e-01 -1.74754e-03
1.66410e+02 2.00986e-01 7.27874e-04
1.67190e+02 2.01375e-01 1.12409e-03
1.67970e+02 2.04759e-01 4.20727e-04
1.68750e+02 2.04172e-01 -2.09528e-03
1.69530e+02 2.02744e-01 -7.32407e-05
1.70310e+02 2.02438e-01 2.67066e-03
1.71090e+02 2.02449e-01 2.78134e-03
1.71880e+02 2.00530e-01 -2.09098e-03
1.72660e+02 2.03077e-01 1.26551e-03
1.73440e+02 2.03871e-01 1.71159e-03
1.74220e+02 2.02967e-01 1.17148e-04
1.75000e+02 2.00439e-01 -8.63204e-04
1.75780e+02 2.01734e-01 2.13671e-03
1.76560e+02 2.02437e-01 3.04241e-03
1.77340e+02 2.04760e-01 3.56193e-03
1.78130e+02 2.02431e-01 -1.28598e-03
1.78910e+02 2.02687e-01 8.24325e-04
1.79690e+02 1.99791e-01 -1.58163e-03
1.80470e+02 2.02781e-01 -1.13599e-03
1.81250e+02 2.02687e-01 3.13243e-03
1.82030e+02 2.03856e-01 6.30977e-04
1.82810e+02 2.03484e-01 6.82197e-04
1.83590e+02 2.04525e-01 -1.81853e-03
1.84380e+02 2.03234e-01 2.35159e-03
1.85160e+02 2.01948e-01 9.53378e-04
1.85940e+02 1.99675e-01 6.16708e-03
1.86720e+02 2.01993e-01 -2.15169e-03
1.87500e+02 2.03497e-01 -1.91618e-03
1.88280e+02 2.06115e-01 2.59511e-03
1.89060e+02 2.03967e-01 2.33525e-03
1.89840e+02 2.02455e-01 6.19608e-04
1.90630e+02 2.02635e-01 -3.05254e-04
1.91410e+02 2.02099e-01 2.09700e-03
1.92190e+02 2.04372e-01 3.93646e-03
1.92970e+02 2.03892e-01 -1.64348e-04
1.93750e+02 2.03069e-01 1.92647e-03
1.94530e+02 2.03837e-01 4.20622e-03
1.95310e+02 2.07043e-01 1.69451e-03
1.96090e+02 2.01658e-01 1.58984e-03
1.96880e+02 2.04823e-01 -1.41093e-03
1.97660e+02 2.04617e-01 3.55638e-03
1.98440e+02 2.04428e-01 -6.82168e-04
1.99220e+02 2.02795e-01 -2.01369e-03
2.00000e+02 1.98065e-01 5.42803e-04
2.00780e+02 1.99496e-01 6.61747e-04
2.01560e+02 2.02882e-01 -2.75648e-03
2.02340e+02 2.02277e-01 4.10286e-05
2.03130e+02 2.00849e-01 3.45687e-04
2.03910e+02 2.01515e-01 -7.62445e-04
2.04690e+02 2.00773e-01 -1.52895e-03
2.05470e+02 2.03063e-01 -1.84422e-04
2.06250e+02 2.00409e-01 -1.40259e-04
2.07030e+02 2.00890e-01 1.16577e-03
2.07810e+02 2.03402e-01 2.35394e-04
2.08590e+02 2.01502e-01 -1.13089e-03
2.09380e+02 2.02003e-01 -1.47055e-03
2.10160e+02 2.02251e-01 -1.12335e-03
2.10940e+02 2.03521e-01 4.86091e-04
2.11720e+02 2.02331e-01 2.46978e-03
2.12500e+02 2.03951e-01 2.43511e-03
2.13280e+02 2.02612e-01 -1.30552e-04
2.14060e+02 2.03088e-01 2.59487e-04
2.14840e+02 2.01750e-01 6.01740e-04
2.15630e+02 2.04081e-01 1.10386e-03
2.16410e+02 2.03976e-01 1.66222e-03
2.17190e+02 2.02419e-01 -5.74742e-05
2.17970e+02 2.05045e-01 2.16729e-03
2.18750e+02 2.01771e-01 1.43148e-03
2.19530e+02 2.03745e-01 -2.48473e-03
2.20310e+02 2.01160e-01 -1.10151e-03
2.21090e+02 2.03667e-01 7.50965e-04
2.21880e+02 2.02919e-01 1.43165e-03
2.22660e+02 2.02130e-01 1.57721e-03
2.23440e+02 2.02210e-01 5.61797e-04
2.24220e+02 1.99261e-01 -9.21539e-04
2.25000e+02 2.01903e-01 5.57310e-04
2.25780e+02 2.03082e-01 -2.05456e-03
2.26560e+02 2.01965e-01 8.95636e-04
2.27340e+02 2.00851e-01 1.31552e-03
2.28130e+02 2.03582e-01 1.57557e-03
2.28910e+02 2.04441e-01 -5.14261e-04
2.29690e+02 2.00545e-01 -1.40445e-03
2.30470e+02 2.02856e-01 -1.76389e-03
2.31250e+02 2.02149e-01 -4.32713e-04
2.32030e+02 2.01216e-01 9.58472e-05
2.32810e+02 2.02687e-01 2.79379e-03
2.33590e+02 1.97083e-01 -3.74755e-03
2.34380e+02 1.99994e-01 4.62480e-03
2.35160e+02 2.03794e-01 -3.35558e-04
2.35940e+02 2.02976e-01 -5.23660e-04
2.36720e+02 2.00237e-01 1.42250e-03
2.37500e+02 2.02188e-01 7.24181e-04
2.38280e+02 2.00676e-01 8.16178e-04
2.39060e+02 1.99786e-01 3.27371e-04
2.39840e+02 2.00006e-01 -1.00762e-03
2.40630e+02 2.02177e-01 -5.31174e-04
2.41410e+02 2.00372e-01 6.14547e-04
2.42190e+02 2.03200e-01 3.65922e-04
2.42970e+02 2.01610e-01 7.82817e-04
2.43750e+02 2.01842e-01 3.33922e-03
2.44530e+02 2.02997e-01 8.61354e-04
2.45310e+02 2.03156e-01 9.27895e-04
2.46090e+02 2.03317e-01 3.15734e-03
2.46880e+02 2.03287e-01 1.44704e-04
2.47660e+02 2.03210e-01 2.45644e-03
2.48440e+02 2.20162e-01 8.06595e-02
2.49220e+02 2.05760e-01 -2.78391e-03
2.50000e+02 2.09913e-01 8.63977e-03
2.50780e+02 2.03695e-01 9.13406e-04
2.51560e+02 1.99443e-01 1.77643e-03
2.52340e+02 2.03281e-01 -1.66107e-04
2.53130e+02 2.03398e-01 -4.96733e-04
2.53910e+02 2.00784e-01 7.36531e-04
2.54690e+02 2.03654e-01 1.06456e-03
2.55470e+02 2.02667e-01 -2.34369e-03
2.56250e+02 2.02921e-01 9.21440e-04
2.57030e+02 2.01367e-01 4.67656e-05
2.57810e+02 2.05591e-01 2.80394e-03
2.58590e+02 2.03165e-01 -5.83188e-05
2.59380e+02 2.03610e-01 -2.16582e-03
2.60160e+02 2.04460e-01 2.98088e-04
2.60940e+02 2.03053e-01 1.70854e-04
2.61720e+02 1.99784e-01 1.24457e-03
2.62500e+02 2.03251e-01 5.92864e-04
2.63280e+02 2.03044e-01 -3.00741e-04
2.64060e+02 2.02748e-01 1.01105e-03
2.64840e+02 2.01538e-01 1.99099e-03
2.65630e+02 2.02637e-01 -1.09816e-04
2.66410e+02 2.01649e-01 6.09303e-04
2.67190e+02 2.01171e-01 -1.54784e-03
2.67970e+02 2.01784e-01 -2.07178e-03
2.68750e+02 2.02256e-01 8.19970e-04
2.69530e+02 2.01830e-01 -4.74659e-04
2.70310e+02 2.01481e-01 1.93237e-03
2.71090e+02 2.01367e-01 -7.74560e-04
2.71880e+02 2.01889e-01 -8.42608e-04
2.72660e+02 2.04173e-01 -4.12971e-04
2.73440e+02 2.02048e-01 2.00549e-04
2.74220e+02 2.01987e-01 -2.00944e-04
2.75000e+02 2.03464e-01 1.77803e-03
2.75780e+02 2.04783e-01 -4.09936e-04
2.76560e+02 2.02125e-01 -4.87791e-04
2.77340e+02 2.02255e-01 6.08680e-04
2.78130e+02 2.03377e-01 2.90675e-03
2.78910e+02 2.03941e-01 -2.51186e-04
2.79690e+02 2.03196e-01 2.24526e-03
2.80470e+02 2.02523e-01 1.07461e-03
2.81250e+02 2.03790e-01 8.18921e-06
2.82030e+02 2.03087e-01 1.01713e-03
2.82810e+02 2.01435e-01 -8.45005e-04
2.83590e+02 2.03261e-01 1.69597e-03
2.84380e+02 2.01998e-01 1.15498e-03
2.85160e+02 2.02860e-01 -3.81835e-04
2.85940e+02 2.03101e-01 1.02295e-03
2.86720e+02 2.03797e-01 1.00436e-03
2.87500e+02 2.02583e-01 2.10674e-03
2.88280e+02 2.04115e-01 -8.87131e-04
2.89060e+02 2.03194e-01 -3.10766e-04
2.89840e+02 2.01370e-01 2.04039e-03
2.90630e+02 2.03130e-01 -1.06820e-03
2.91410e+02 2.03699e-01 1.18416e-03
2.92190e+02 2.03807e-01 -3.37950e-04
2.92970e+02 2.03229e-01 3.07996e-04
2.93750e+02 2.00629e-01 3.59191e-04
2.94530e+02 2.02198e-01 6.76928e-04
2.95310e+02 2.02516e-01 1.67943e-03
2.96090e+02 2.04308e-01 -9.72247e-04
2.96880e+02 2.03016e-01 3.78793e-04
2.97660e+02 2.02496e-01 -5.76969e-04
2.98440e+02 2.04488e-01 3.11135e-03
2.99220e+02 2.00346e-01 1.31206e-03
3.00000e+02 2.05873e-01 1.59312e-03
3.00780e+02 2.01295e-01 7.44270e-04
3.01560e+02 2.03609e-01 9.33999e-04
3.02340e+02 2.01955e-01 8.90454e-04
3.03130e+02 2.02963e-01 -9.85500e-04
3.03910e+02 2.01632e-01 -6.40959e-04
3.04690e+02 2.03221e-01 1.79890e-03
3.05470e+02 2.03461e-01 3.72541e-04
3.06250e+02 2.01371e-01 -6.22160e-04
3.07030e+02 2.02803e-01 1.54883e-03
3.07810e+02 2.00468e-01 2.62038e-03
3.08590e+02 2.04113e-01 -5.46872e-05
3.09380e+02 2.02793e-01 -1.07890e-04
3.10160e+02 2.04571e-01 -1.69779e-03
3.10940e+02 2.04592e-01 2.04761e-03
3.11720e+02 2.01523e-01 1.36692e-03
