# Measured flexural accelerances (m/(s^2N)) at four locations along the axis, measured at two points across the diameter of the beam
# to demonstrate that the response of the system does not follow the fundamental beam theories 
# at larger diameters and/or high frequencies 
# frequency, at 0.3 m (1), at 0.3 m (2), at 0.8 m (1), at 0.8 m (2), at 1.4 m (1), at 1.4 m (2), at 2.0 m (1), at 2.0 m (2)
0.000000e+00+0.000000e+00j,-1.213300e+00+1.485864e-16j,-5.170800e-01+6.332404e-17j,-4.716200e-01+5.775679e-17j,-6.023800e-02+7.377027e-18j,-8.020600e-01+9.822402e-17j,-8.976800e-01+1.099341e-16j,-2.615100e+00+3.202574e-16j,1.374000e+00+0.000000e+00j
9.968800e+02+0.000000e+00j,2.678541e-02-4.130375e-03j,-1.505481e-02+1.143136e-02j,-9.188745e-03+1.272646e-02j,1.073881e-02-1.337932e-02j,-5.256558e-02+8.042050e-02j,5.461242e-02-8.127493e-02j,-1.297621e-01+1.775573e-01j,1.304438e-01-1.725778e-01j
9.976600e+02+0.000000e+00j,2.696818e-02-4.230627e-03j,-1.477349e-02+1.177665e-02j,-9.262542e-03+1.262327e-02j,1.092110e-02-1.260100e-02j,-5.284623e-02+8.103504e-02j,5.648643e-02-8.145824e-02j,-1.373364e-01+1.805411e-01j,1.398409e-01-1.775147e-01j
9.984400e+02+0.000000e+00j,2.708062e-02-4.204063e-03j,-1.544135e-02+1.113256e-02j,-9.257541e-03+1.165084e-02j,1.040124e-02-1.180163e-02j,-5.530956e-02+8.520181e-02j,5.924782e-02-8.448592e-02j,-1.395872e-01+1.851712e-01j,1.366969e-01-1.841364e-01j
9.992200e+02+0.000000e+00j,2.721889e-02-3.886764e-03j,-1.533793e-02+1.079168e-02j,-8.849167e-03+1.184185e-02j,1.016574e-02-1.246664e-02j,-5.802771e-02+8.593253e-02j,6.193586e-02-8.719089e-02j,-1.423895e-01+1.897829e-01j,1.384924e-01-1.900528e-01j
1.000000e+03+0.000000e+00j,2.731684e-02-4.067421e-03j,-1.494930e-02+1.118758e-02j,-8.287650e-03+1.146157e-02j,9.595698e-03-1.160457e-02j,-5.715709e-02+8.477078e-02j,6.082686e-02-8.465265e-02j,-1.487411e-01+1.901062e-01j,1.490835e-01-1.903589e-01j
1.000800e+03+0.000000e+00j,2.709984e-02-4.031048e-03j,-1.450321e-02+1.122553e-02j,-8.173840e-03+1.065236e-02j,9.311509e-03-1.102102e-02j,-5.847609e-02+8.784718e-02j,5.976784e-02-8.864284e-02j,-1.531267e-01+1.884896e-01j,1.473275e-01-1.911154e-01j
1.001600e+03+0.000000e+00j,2.759105e-02-4.113516e-03j,-1.545089e-02+1.053198e-02j,-8.482388e-03+9.963248e-03j,1.059570e-02-9.940978e-03j,-6.110924e-02+9.156018e-02j,6.310203e-02-8.997858e-02j,-1.586851e-01+1.939443e-01j,1.539378e-01-1.960070e-01j
1.002300e+03+0.000000e+00j,2.752384e-02-4.048562e-03j,-1.505769e-02+9.198472e-03j,-7.338858e-03+9.710754e-03j,8.670473e-03-1.074505e-02j,-6.355741e-02+9.526429e-02j,6.756659e-02-9.484386e-02j,-1.617934e-01+2.074590e-01j,1.538301e-01-2.125548e-01j
1.003100e+03+0.000000e+00j,2.779322e-02-4.410517e-03j,-1.520105e-02+1.012251e-02j,-8.351256e-03+9.816163e-03j,9.494191e-03-1.001914e-02j,-6.752482e-02+8.954341e-02j,6.982672e-02-9.127341e-02j,-1.722854e-01+2.022201e-01j,1.654843e-01-2.076179e-01j
1.003900e+03+0.000000e+00j,2.798950e-02-4.327052e-03j,-1.628385e-02+1.026640e-02j,-7.462527e-03+9.091498e-03j,9.487711e-03-9.292026e-03j,-7.049227e-02+9.477961e-02j,7.070074e-02-9.270725e-02j,-1.872663e-01+2.121132e-01j,1.764127e-01-2.169597e-01j
1.004700e+03+0.000000e+00j,2.827978e-02-4.068931e-03j,-1.558342e-02+9.179339e-03j,-7.315909e-03+8.088159e-03j,8.572846e-03-8.757359e-03j,-7.271005e-02+9.662978e-02j,7.419193e-02-9.728864e-02j,-1.838590e-01+2.202051e-01j,1.726292e-01-2.269449e-01j
1.005500e+03+0.000000e+00j,2.843864e-02-4.157975e-03j,-1.498611e-02+9.104537e-03j,-7.847784e-03+8.209368e-03j,9.484397e-03-8.830736e-03j,-7.643799e-02+9.861433e-02j,7.655322e-02-9.834756e-02j,-1.969555e-01+2.333130e-01j,1.856255e-01-2.401281e-01j
1.006300e+03+0.000000e+00j,2.824677e-02-4.231790e-03j,-1.577924e-02+8.974790e-03j,-7.097745e-03+7.732272e-03j,9.155720e-03-8.443922e-03j,-8.109656e-02+1.033891e-01j,8.326453e-02-1.004852e-01j,-2.127553e-01+2.368700e-01j,1.942748e-01-2.483118e-01j
1.007000e+03+0.000000e+00j,2.880717e-02-4.516027e-03j,-1.603387e-02+9.729592e-03j,-7.261332e-03+7.694768e-03j,8.962486e-03-8.321463e-03j,-7.898914e-02+1.005939e-01j,7.931205e-02-1.011032e-01j,-2.137139e-01+2.350332e-01j,1.980096e-01-2.421101e-01j
1.007800e+03+0.000000e+00j,2.854115e-02-4.424116e-03j,-1.538019e-02+7.907736e-03j,-6.489437e-03+7.151833e-03j,8.130185e-03-7.666859e-03j,-8.346733e-02+1.079941e-01j,8.503290e-02-1.082829e-01j,-2.209072e-01+2.571005e-01j,1.999538e-01-2.648952e-01j
1.008600e+03+0.000000e+00j,2.882717e-02-4.549737e-03j,-1.577697e-02+8.944365e-03j,-6.829439e-03+6.428990e-03j,8.512720e-03-7.040583e-03j,-8.986768e-02+1.139966e-01j,9.118404e-02-1.096758e-01j,-2.369219e-01+2.766169e-01j,2.146313e-01-2.831457e-01j
1.009400e+03+0.000000e+00j,2.933142e-02-4.348446e-03j,-1.671662e-02+8.109943e-03j,-6.900612e-03+6.316602e-03j,8.603951e-03-6.716342e-03j,-8.685568e-02+1.147189e-01j,8.984142e-02-1.122167e-01j,-2.365288e-01+2.819839e-01j,2.098309e-01-2.887757e-01j
1.010200e+03+0.000000e+00j,2.960323e-02-4.609808e-03j,-1.646565e-02+8.252575e-03j,-6.796851e-03+5.608872e-03j,8.557345e-03-6.233491e-03j,-9.634248e-02+1.208591e-01j,9.780582e-02-1.185004e-01j,-2.497748e-01+3.053826e-01j,2.178157e-01-3.135358e-01j
1.010900e+03+0.000000e+00j,2.985151e-02-4.594426e-03j,-1.705671e-02+8.274935e-03j,-6.311996e-03+5.394766e-03j,7.915141e-03-5.883662e-03j,-9.568905e-02+1.277707e-01j,9.700172e-02-1.238177e-01j,-2.510024e-01+3.172545e-01j,2.183301e-01-3.239194e-01j
1.011700e+03+0.000000e+00j,3.011616e-02-4.610303e-03j,-1.687938e-02+8.345977e-03j,-6.473372e-03+5.370481e-03j,8.589920e-03-6.478377e-03j,-1.036444e-01+1.296938e-01j,1.050634e-01-1.260965e-01j,-2.673663e-01+3.528811e-01j,2.307872e-01-3.574262e-01j
1.012500e+03+0.000000e+00j,3.023086e-02-4.891295e-03j,-1.711819e-02+8.153959e-03j,-5.863792e-03+5.097316e-03j,8.171598e-03-5.409893e-03j,-1.102688e-01+1.376872e-01j,1.116983e-01-1.339360e-01j,-2.740580e-01+3.759651e-01j,2.359305e-01-3.790530e-01j
1.013300e+03+0.000000e+00j,3.063057e-02-4.880838e-03j,-1.779192e-02+6.908178e-03j,-5.919540e-03+4.203689e-03j,8.174679e-03-5.282974e-03j,-1.150255e-01+1.449701e-01j,1.159729e-01-1.395116e-01j,-2.760171e-01+4.050814e-01j,2.330471e-01-4.044642e-01j
1.014100e+03+0.000000e+00j,3.077255e-02-5.116492e-03j,-1.644279e-02+7.920452e-03j,-5.881231e-03+3.923777e-03j,7.919258e-03-4.861868e-03j,-1.126593e-01+1.478865e-01j,1.152150e-01-1.425379e-01j,-2.888962e-01+4.262171e-01j,2.463479e-01-4.211519e-01j
1.014800e+03+0.000000e+00j,3.125359e-02-5.331047e-03j,-1.859826e-02+7.673247e-03j,-5.785172e-03+3.903617e-03j,7.935682e-03-4.924551e-03j,-1.190679e-01+1.591614e-01j,1.203078e-01-1.531202e-01j,-2.845919e-01+4.638664e-01j,2.359645e-01-4.555330e-01j
1.015600e+03+0.000000e+00j,3.176243e-02-5.801995e-03j,-1.875841e-02+7.842968e-03j,-5.611187e-03+3.098819e-03j,7.534094e-03-4.322503e-03j,-1.242933e-01+1.666915e-01j,1.254204e-01-1.608777e-01j,-2.833879e-01+5.070630e-01j,2.352306e-01-4.976342e-01j
1.016400e+03+0.000000e+00j,3.191122e-02-6.083928e-03j,-1.925910e-02+7.742107e-03j,-5.115746e-03+2.588633e-03j,7.535829e-03-3.622053e-03j,-1.241995e-01+1.708832e-01j,1.267511e-01-1.643760e-01j,-2.782020e-01+5.410902e-01j,2.285267e-01-5.263288e-01j
1.017200e+03+0.000000e+00j,3.245693e-02-6.142189e-03j,-1.932729e-02+7.291611e-03j,-5.009145e-03+1.809331e-03j,7.457401e-03-2.931235e-03j,-1.344746e-01+1.861111e-01j,1.342238e-01-1.798064e-01j,-2.664653e-01+5.931891e-01j,2.120241e-01-5.756446e-01j
1.018000e+03+0.000000e+00j,3.264585e-02-6.733301e-03j,-1.979212e-02+8.000556e-03j,-4.612171e-03+1.991088e-03j,7.055058e-03-3.608857e-03j,-1.302600e-01+1.953905e-01j,1.340325e-01-1.886299e-01j,-2.419561e-01+6.423519e-01j,1.912027e-01-6.151289e-01j
1.018800e+03+0.000000e+00j,3.320859e-02-6.731621e-03j,-2.088459e-02+8.079637e-03j,-4.386904e-03+1.094591e-03j,7.170805e-03-2.750460e-03j,-1.341275e-01+2.112697e-01j,1.391005e-01-2.031512e-01j,-2.075269e-01+6.992545e-01j,1.511735e-01-6.635164e-01j
1.019500e+03+0.000000e+00j,3.360182e-02-7.427812e-03j,-2.059779e-02+8.055602e-03j,-4.018739e-03+5.905692e-04j,6.747032e-03-2.368860e-03j,-1.367693e-01+2.217079e-01j,1.389147e-01-2.151985e-01j,-1.598785e-01+7.413463e-01j,1.083308e-01-7.044086e-01j
1.020300e+03+0.000000e+00j,3.398157e-02-7.758477e-03j,-2.144461e-02+8.399735e-03j,-3.748565e-03-3.371885e-04j,6.107007e-03-1.633512e-03j,-1.444402e-01+2.389695e-01j,1.497786e-01-2.301197e-01j,-9.778664e-02+7.887817e-01j,4.538192e-02-7.451894e-01j
1.021100e+03+0.000000e+00j,3.443196e-02-8.333149e-03j,-2.172660e-02+9.168738e-03j,-3.490379e-03-1.311947e-03j,6.655148e-03-6.192891e-04j,-1.360056e-01+2.575216e-01j,1.445025e-01-2.477826e-01j,-2.410709e-02+8.122523e-01j,-2.410300e-02-7.644201e-01j
1.021900e+03+0.000000e+00j,3.488457e-02-9.346641e-03j,-2.237339e-02+9.358993e-03j,-3.069223e-03-1.575335e-03j,6.411550e-03-5.752047e-04j,-1.487722e-01+2.830090e-01j,1.542813e-01-2.742526e-01j,5.717029e-02+8.495285e-01j,-1.046089e-01-7.945836e-01j
1.022700e+03+0.000000e+00j,3.521611e-02-9.832515e-03j,-2.272543e-02+1.020845e-02j,-2.623348e-03-2.974558e-03j,5.334342e-03+6.870075e-04j,-1.466651e-01+2.989844e-01j,1.542133e-01-2.888402e-01j,1.367332e-01+8.526056e-01j,-1.792317e-01-7.933768e-01j
1.023400e+03+0.000000e+00j,3.553101e-02-1.066117e-02j,-2.304479e-02+1.049240e-02j,-2.450971e-03-3.652936e-03j,5.162295e-03+1.230404e-03j,-1.432470e-01+3.269458e-01j,1.537658e-01-3.171611e-01j,2.198564e-01+8.205154e-01j,-2.594239e-01-7.620527e-01j
1.024200e+03+0.000000e+00j,3.657638e-02-1.163715e-02j,-2.436763e-02+1.107417e-02j,-1.676111e-03-5.245627e-03j,5.179374e-03+2.322598e-03j,-1.298359e-01+3.478169e-01j,1.404543e-01-3.420886e-01j,3.012038e-01+7.755859e-01j,-3.321068e-01-7.135053e-01j
1.025000e+03+0.000000e+00j,3.647375e-02-1.276507e-02j,-2.387731e-02+1.172322e-02j,-2.223264e-03-6.508445e-03j,5.247562e-03+3.372239e-03j,-1.252995e-01+3.854033e-01j,1.395776e-01-3.787285e-01j,3.561965e-01+7.254843e-01j,-3.840824e-01-6.620442e-01j
1.025800e+03+0.000000e+00j,3.674521e-02-1.429534e-02j,-2.432220e-02+1.326640e-02j,-1.587688e-03-7.769028e-03j,4.417581e-03+4.162917e-03j,-1.162001e-01+4.060402e-01j,1.319917e-01-4.007006e-01j,4.076500e-01+6.907284e-01j,-4.312728e-01-6.268024e-01j
1.026600e+03+0.000000e+00j,3.703351e-02-1.549905e-02j,-2.507490e-02+1.441289e-02j,-1.772269e-03-1.004079e-02j,5.082806e-03+6.359833e-03j,-8.787164e-02+4.529044e-01j,1.046549e-01-4.488404e-01j,4.397261e-01+6.171110e-01j,-4.585512e-01-5.540962e-01j
1.027300e+03+0.000000e+00j,3.706469e-02-1.751802e-02j,-2.477035e-02+1.555046e-02j,-1.850071e-03-1.199921e-02j,4.549954e-03+7.987604e-03j,-4.784473e-02+4.792577e-01j,6.613044e-02-4.773107e-01j,4.596669e-01+5.726921e-01j,-4.749918e-01-5.079426e-01j
1.028100e+03+0.000000e+00j,3.714835e-02-1.929620e-02j,-2.507940e-02+1.796171e-02j,-2.430739e-03-1.397214e-02j,5.937823e-03+9.811080e-03j,-4.484025e-03+5.097403e-01j,2.487525e-02-5.122764e-01j,4.532762e-01+5.223914e-01j,-4.670941e-01-4.582115e-01j
1.028900e+03+0.000000e+00j,3.623507e-02-2.169827e-02j,-2.532873e-02+1.945650e-02j,-3.196078e-03-1.599481e-02j,6.276845e-03+1.107263e-02j,5.111897e-02+5.313768e-01j,-3.238692e-02-5.372146e-01j,4.619603e-01+4.583462e-01j,-4.735630e-01-3.963816e-01j
1.029700e+03+0.000000e+00j,3.536338e-02-2.387266e-02j,-2.427968e-02+2.193837e-02j,-5.372892e-03-1.905084e-02j,8.021060e-03+1.368798e-02j,1.046890e-01+5.373265e-01j,-9.052447e-02-5.474663e-01j,4.497844e-01+4.239740e-01j,-4.619398e-01-3.611667e-01j
1.030500e+03+0.000000e+00j,3.388539e-02-2.654853e-02j,-2.280216e-02+2.361233e-02j,-6.127190e-03-2.291497e-02j,8.546384e-03+1.709803e-02j,1.621930e-01+5.209660e-01j,-1.475193e-01-5.312173e-01j,4.395943e-01+3.998178e-01j,-4.491864e-01-3.364013e-01j
1.031300e+03+0.000000e+00j,3.101920e-02-2.887834e-02j,-2.122060e-02+2.594499e-02j,-9.650015e-03-2.354087e-02j,1.111852e-02+1.762860e-02j,2.243358e-01+5.041505e-01j,-2.133644e-01-5.202362e-01j,4.357637e-01+3.815226e-01j,-4.441406e-01-3.157510e-01j
1.032000e+03+0.000000e+00j,2.776402e-02-2.996877e-02j,-1.855899e-02+2.689274e-02j,-1.286359e-02-2.505135e-02j,1.409862e-02+1.878853e-02j,2.782976e-01+4.700885e-01j,-2.735177e-01-4.882010e-01j,4.268675e-01+3.630872e-01j,-4.329887e-01-2.950328e-01j
1.032800e+03+0.000000e+00j,2.374162e-02-3.111460e-02j,-1.406302e-02+2.830496e-02j,-1.832551e-02-2.599733e-02j,1.855234e-02+1.972793e-02j,3.265607e-01+4.054925e-01j,-3.250736e-01-4.251786e-01j,4.117789e-01+3.325130e-01j,-4.142109e-01-2.639831e-01j
1.033600e+03+0.000000e+00j,2.017013e-02-3.017077e-02j,-1.102282e-02+2.733737e-02j,-2.151529e-02-2.329141e-02j,2.048366e-02+1.760567e-02j,3.241864e-01+3.625191e-01j,-3.297002e-01-3.822311e-01j,4.140660e-01+3.337871e-01j,-4.119204e-01-2.617153e-01j
1.034400e+03+0.000000e+00j,1.680989e-02-2.905231e-02j,-7.514617e-03+2.660927e-02j,-2.623205e-02-2.357802e-02j,2.475503e-02+1.698378e-02j,3.304462e-01+3.121380e-01j,-3.439986e-01-3.304595e-01j,4.085364e-01+3.234538e-01j,-4.016834e-01-2.506099e-01j
1.035200e+03+0.000000e+00j,1.399169e-02-2.631787e-02j,-5.381466e-03+2.411483e-02j,-2.781371e-02-2.021526e-02j,2.642353e-02+1.491625e-02j,3.363559e-01+2.865550e-01j,-3.507212e-01-2.986983e-01j,4.152429e-01+3.171099e-01j,-4.036235e-01-2.426173e-01j
1.035900e+03+0.000000e+00j,1.178248e-02-2.375440e-02j,-3.277875e-03+2.206182e-02j,-3.124062e-02-1.836543e-02j,2.903360e-02+1.324484e-02j,3.256898e-01+2.424258e-01j,-3.398463e-01-2.486388e-01j,4.152786e-01+3.036487e-01j,-3.980410e-01-2.302724e-01j
1.036700e+03+0.000000e+00j,1.139797e-02-2.120821e-02j,-2.569678e-03+1.937231e-02j,-3.196174e-02-1.480226e-02j,3.005866e-02+1.029255e-02j,3.131267e-01+2.216732e-01j,-3.332747e-01-2.245428e-01j,4.227490e-01+2.899177e-01j,-4.009926e-01-2.153709e-01j
1.037500e+03+0.000000e+00j,1.042570e-02-1.891732e-02j,-2.453469e-03+1.750389e-02j,-3.168005e-02-1.276742e-02j,2.990438e-02+8.620149e-03j,3.020755e-01+1.963651e-01j,-3.256957e-01-1.949249e-01j,4.271508e-01+2.853592e-01j,-3.983510e-01-2.122531e-01j
1.038300e+03+0.000000e+00j,1.134240e-02-1.671617e-02j,-2.602966e-03+1.394922e-02j,-3.230713e-02-1.102342e-02j,3.002147e-02+7.544771e-03j,2.823016e-01+1.848738e-01j,-3.068566e-01-1.752409e-01j,4.437986e-01+2.568576e-01j,-4.078048e-01-1.897294e-01j
1.039100e+03+0.000000e+00j,1.138387e-02-1.505818e-02j,-3.792001e-03+1.313769e-02j,-3.162651e-02-6.907260e-03j,3.055537e-02+4.209691e-03j,2.665293e-01+1.663844e-01j,-2.910682e-01-1.541127e-01j,4.410967e-01+2.378339e-01j,-4.015525e-01-1.732682e-01j
1.039800e+03+0.000000e+00j,1.208910e-02-1.271123e-02j,-3.476553e-03+1.187350e-02j,-2.947495e-02-7.914333e-03j,2.868080e-02+4.083210e-03j,2.514568e-01+1.546368e-01j,-2.743764e-01-1.376971e-01j,4.374256e-01+2.195241e-01j,-3.956726e-01-1.610684e-01j
1.040600e+03+0.000000e+00j,1.284084e-02-1.231392e-02j,-4.407195e-03+1.044855e-02j,-2.984085e-02-5.546838e-03j,2.935457e-02+2.442375e-03j,2.356321e-01+1.572600e-01j,-2.604998e-01-1.323878e-01j,4.411808e-01+2.002492e-01j,-3.948916e-01-1.476439e-01j
1.041400e+03+0.000000e+00j,1.391029e-02-1.160731e-02j,-5.302543e-03+9.968436e-03j,-2.902880e-02-5.401136e-03j,2.859616e-02+1.771861e-03j,2.252328e-01+1.594147e-01j,-2.480748e-01-1.266187e-01j,4.319541e-01+1.823846e-01j,-3.858292e-01-1.330023e-01j
1.042200e+03+0.000000e+00j,1.479235e-02-1.099659e-02j,-6.448434e-03+9.347537e-03j,-2.808791e-02-4.745672e-03j,2.781249e-02+8.668516e-04j,2.158921e-01+1.635387e-01j,-2.318519e-01-1.248916e-01j,4.258881e-01+1.664237e-01j,-3.776229e-01-1.209507e-01j
1.043000e+03+0.000000e+00j,1.549990e-02-1.098185e-02j,-7.024729e-03+8.458322e-03j,-2.745241e-02-4.181197e-03j,2.745421e-02-2.078951e-04j,2.171753e-01+1.674589e-01j,-2.262902e-01-1.238390e-01j,4.200971e-01+1.426937e-01j,-3.734341e-01-1.040539e-01j
1.043800e+03+0.000000e+00j,1.617712e-02-1.103073e-02j,-7.924498e-03+8.344843e-03j,-2.753431e-02-3.025224e-03j,2.729866e-02-9.446084e-04j,2.147289e-01+1.750662e-01j,-2.164772e-01-1.243291e-01j,4.115962e-01+1.306688e-01j,-3.656501e-01-9.551735e-02j
1.044500e+03+0.000000e+00j,1.682516e-02-1.094895e-02j,-8.417780e-03+8.632046e-03j,-2.582729e-02-3.459861e-03j,2.587226e-02-1.341102e-03j,2.189768e-01+1.750260e-01j,-2.135107e-01-1.237678e-01j,4.048950e-01+1.148180e-01j,-3.578635e-01-8.551918e-02j
1.045300e+03+0.000000e+00j,1.712184e-02-1.159584e-02j,-8.612773e-03+8.764422e-03j,-2.557247e-02-3.566672e-03j,2.564523e-02-2.062105e-03j,2.276250e-01+1.818082e-01j,-2.112724e-01-1.267948e-01j,3.884393e-01+1.030654e-01j,-3.449083e-01-7.589613e-02j
1.046100e+03+0.000000e+00j,1.690127e-02-1.221965e-02j,-9.479721e-03+9.328714e-03j,-2.573323e-02-4.011313e-03j,2.496728e-02-2.034128e-03j,2.423550e-01+1.787775e-01j,-2.133569e-01-1.261287e-01j,3.791722e-01+8.852919e-02j,-3.365620e-01-6.371573e-02j
1.046900e+03+0.000000e+00j,1.717418e-02-1.296425e-02j,-9.473996e-03+9.500489e-03j,-2.614449e-02-3.539521e-03j,2.530184e-02-2.628482e-03j,2.464889e-01+1.796506e-01j,-2.086707e-01-1.303919e-01j,3.713013e-01+8.334276e-02j,-3.300964e-01-6.058403e-02j
1.047700e+03+0.000000e+00j,1.667654e-02-1.348898e-02j,-8.958826e-03+9.991789e-03j,-2.605171e-02-3.568641e-03j,2.436576e-02-3.298407e-03j,2.599583e-01+1.680009e-01j,-2.132273e-01-1.268569e-01j,3.619520e-01+7.380445e-02j,-3.212954e-01-5.221116e-02j
1.048400e+03+0.000000e+00j,1.905593e-02-1.242715e-02j,-8.834903e-03+1.037364e-02j,-2.700937e-02-9.479078e-04j,2.420719e-02-2.051882e-03j,2.758141e-01+1.597553e-01j,-2.184152e-01-1.267127e-01j,3.477119e-01+7.000999e-02j,-3.130086e-01-4.834442e-02j
1.049200e+03+0.000000e+00j,1.398773e-02-1.375819e-02j,-8.420236e-03+1.036479e-02j,-2.729113e-02-4.557176e-03j,2.341392e-02-3.090483e-03j,2.757538e-01+1.477030e-01j,-2.183368e-01-1.226753e-01j,3.459051e-01+6.201379e-02j,-3.077721e-01-4.413133e-02j
1.050000e+03+0.000000e+00j,1.321536e-02-1.392267e-02j,-7.744609e-03+9.959141e-03j,-2.681387e-02-5.494344e-03j,2.202533e-02-2.087204e-03j,2.769999e-01+1.351917e-01j,-2.192474e-01-1.182007e-01j,3.380325e-01+5.979285e-02j,-3.007467e-01-4.296327e-02j
1.050800e+03+0.000000e+00j,1.203561e-02-1.243411e-02j,-6.678642e-03+9.446561e-03j,-2.742261e-02-4.083658e-03j,2.155963e-02-2.134115e-03j,2.775766e-01+1.257683e-01j,-2.186596e-01-1.152861e-01j,3.304010e-01+5.365947e-02j,-2.949659e-01-3.836173e-02j
1.051600e+03+0.000000e+00j,1.114004e-02-1.180170e-02j,-6.954323e-03+8.933221e-03j,-2.787539e-02-4.664740e-03j,2.156245e-02-1.166837e-03j,2.773699e-01+1.121098e-01j,-2.190663e-01-1.100831e-01j,3.240145e-01+5.237328e-02j,-2.887417e-01-3.760349e-02j
1.052300e+03+0.000000e+00j,1.072237e-02-1.047668e-02j,-6.460657e-03+8.296092e-03j,-2.799892e-02-3.920042e-03j,2.120766e-02-1.519105e-03j,2.740027e-01+9.850121e-02j,-2.201564e-01-1.053396e-01j,3.132411e-01+4.516217e-02j,-2.799147e-01-3.085343e-02j
1.053100e+03+0.000000e+00j,1.058557e-02-9.074853e-03j,-6.157490e-03+7.265803e-03j,-2.824367e-02-2.868887e-03j,2.144072e-02-1.394213e-03j,2.693258e-01+9.054919e-02j,-2.179678e-01-1.017327e-01j,3.069544e-01+3.842417e-02j,-2.750601e-01-2.517765e-02j
1.053900e+03+0.000000e+00j,1.064901e-02-8.061093e-03j,-6.193550e-03+6.897979e-03j,-2.823125e-02-1.642635e-03j,2.128037e-02-1.854194e-03j,2.689549e-01+8.145845e-02j,-2.191501e-01-9.606333e-02j,3.025204e-01+3.841785e-02j,-2.711795e-01-2.596831e-02j
1.054700e+03+0.000000e+00j,1.079959e-02-7.086451e-03j,-6.852797e-03+6.097043e-03j,-2.809340e-02-1.846263e-03j,2.105416e-02-8.907872e-04j,2.635199e-01+7.421107e-02j,-2.177222e-01-9.196945e-02j,2.961903e-01+3.925297e-02j,-2.661667e-01-2.647314e-02j
1.055500e+03+0.000000e+00j,1.097346e-02-6.216576e-03j,-7.194294e-03+5.158209e-03j,-2.875076e-02-1.205014e-03j,2.181541e-02-9.247876e-04j,2.578277e-01+6.849182e-02j,-2.159244e-01-8.908580e-02j,2.890923e-01+3.707512e-02j,-2.596869e-01-2.523374e-02j
1.056300e+03+0.000000e+00j,1.164495e-02-5.508273e-03j,-7.442919e-03+4.900249e-03j,-2.791969e-02-1.165300e-03j,2.091442e-02-3.867522e-04j,2.551755e-01+6.510509e-02j,-2.179173e-01-8.694019e-02j,2.857492e-01+3.213069e-02j,-2.567153e-01-2.133139e-02j
1.057000e+03+0.000000e+00j,1.176590e-02-4.883220e-03j,-8.165568e-03+4.216369e-03j,-2.760522e-02-6.119887e-04j,2.112331e-02-1.708054e-04j,2.511242e-01+5.912264e-02j,-2.155318e-01-8.646850e-02j,2.798819e-01+2.995176e-02j,-2.515751e-01-1.988775e-02j
1.057800e+03+0.000000e+00j,1.242382e-02-4.144899e-03j,-8.023136e-03+4.432664e-03j,-2.732163e-02+1.430570e-04j,2.161334e-02-4.487724e-04j,2.481290e-01+5.618228e-02j,-2.160612e-01-8.267863e-02j,2.747959e-01+3.162731e-02j,-2.478338e-01-2.037565e-02j
1.058600e+03+0.000000e+00j,1.279756e-02-3.758277e-03j,-8.673841e-03+4.144646e-03j,-2.733497e-02+4.293770e-05j,2.137500e-02-2.925266e-04j,2.435146e-01+4.851318e-02j,-2.153270e-01-7.803230e-02j,2.703585e-01+3.001980e-02j,-2.440644e-01-1.972270e-02j
1.059400e+03+0.000000e+00j,1.298881e-02-3.390354e-03j,-8.978315e-03+3.879684e-03j,-2.713320e-02-2.083721e-04j,2.118200e-02-5.455229e-06j,2.386402e-01+4.759407e-02j,-2.141280e-01-7.616334e-02j,2.646274e-01+2.618758e-02j,-2.393429e-01-1.719830e-02j
1.060200e+03+0.000000e+00j,1.368595e-02-2.837463e-03j,-9.100206e-03+3.844078e-03j,-2.665200e-02-4.651651e-06j,2.080598e-02+2.898605e-04j,2.371923e-01+4.094252e-02j,-2.151690e-01-7.128534e-02j,2.621604e-01+2.414591e-02j,-2.358215e-01-1.471267e-02j
1.060900e+03+0.000000e+00j,1.390269e-02-2.655350e-03j,-9.512482e-03+3.611553e-03j,-2.660896e-02-4.644144e-05j,2.094955e-02+6.617334e-04j,2.334170e-01+3.737313e-02j,-2.156932e-01-6.656198e-02j,2.590132e-01+2.429423e-02j,-2.336658e-01-1.408695e-02j
1.061700e+03+0.000000e+00j,1.433626e-02-2.251638e-03j,-9.938805e-03+3.352504e-03j,-2.649582e-02+9.711269e-05j,2.079399e-02+5.398613e-04j,2.295288e-01+3.045160e-02j,-2.140579e-01-5.952448e-02j,2.519091e-01+2.410744e-02j,-2.275364e-01-1.559167e-02j
1.062500e+03+0.000000e+00j,1.489285e-02-2.141290e-03j,-1.009563e-02+2.929231e-03j,-2.646830e-02-3.002862e-04j,2.115972e-02+1.187272e-03j,2.289601e-01+3.426571e-02j,-2.150410e-01-6.024286e-02j,2.513300e-01+2.105000e-02j,-2.261778e-01-1.244731e-02j
1.063300e+03+0.000000e+00j,1.510582e-02-1.751329e-03j,-1.041516e-02+3.281890e-03j,-2.634569e-02-1.287503e-04j,2.097933e-02+6.032656e-04j,2.232100e-01+2.760054e-02j,-2.107638e-01-5.301842e-02j,2.487445e-01+2.015902e-02j,-2.248605e-01-1.217801e-02j
1.064100e+03+0.000000e+00j,1.543476e-02-1.788156e-03j,-1.062496e-02+2.773537e-03j,-2.562753e-02-4.786504e-04j,2.067450e-02+1.608748e-03j,2.202688e-01+2.718455e-02j,-2.111698e-01-5.116539e-02j,2.442535e-01+1.805687e-02j,-2.202124e-01-1.065461e-02j
