# Measured flexural accelerances (m/(s^2N)) at four locations along the axis, measured at two points across the diameter of the beam
# to demonstrate that the response of the system does not follow the fundamental beam theories 
# at larger diameters and/or high frequencies 
# frequency, at 0.3 m (1), at 0.3 m (2), at 0.8 m (1), at 0.8 m (2), at 1.4 m (1), at 1.4 m (2), at 2.0 m (1), at 2.0 m (2)
0.000000e+00+0.000000e+00j,-1.213300e+00+1.485864e-16j,-5.170800e-01+6.332404e-17j,-4.716200e-01+5.775679e-17j,-6.023800e-02+7.377027e-18j,-8.020600e-01+9.822402e-17j,-8.976800e-01+1.099341e-16j,-2.615100e+00+3.202574e-16j,1.374000e+00+0.000000e+00j
1.484400e+01+0.000000e+00j,1.637802e-02+7.235575e-04j,-1.634138e-02-3.422823e-03j,6.092021e-03+4.668752e-05j,-1.215088e-02+1.334896e-02j,-1.109210e-02-1.407159e-03j,1.775734e-02+1.432153e-03j,-4.983931e-02-3.747437e-03j,5.090989e-02+7.323893e-03j
1.562500e+01+0.000000e+00j,1.483206e-02-2.954336e-04j,-9.235650e-03+7.138876e-04j,5.900842e-03-1.046956e-03j,-9.786319e-03-4.803430e-04j,-1.614761e-02-1.925485e-03j,1.807072e-02-1.662183e-03j,-4.726700e-02+2.460614e-03j,5.539810e-02-4.592781e-04j
1.640600e+01+0.000000e+00j,1.350262e-02-1.529764e-03j,-1.202527e-02+5.313431e-04j,5.809204e-03-2.028551e-03j,-8.603106e-03+1.801984e-03j,-1.683429e-02-2.204322e-03j,1.833536e-02+1.336395e-03j,-4.526745e-02-1.794389e-03j,5.116402e-02+8.047207e-03j
1.718800e+01+0.000000e+00j,1.420895e-02+1.881670e-03j,-1.635576e-02+3.226663e-03j,3.824206e-03-1.704086e-03j,-6.783352e-03+5.244661e-03j,-1.551576e-02-3.232934e-03j,2.240109e-02-6.119841e-03j,-5.045165e-02-3.501378e-03j,5.578382e-02+9.488312e-03j
1.796900e+01+0.000000e+00j,1.576512e-02+8.309054e-04j,-1.525841e-02+1.397196e-02j,9.745283e-03+1.264671e-03j,-2.053570e-03-8.224189e-03j,-1.611907e-02-1.535055e-03j,1.637454e-02+5.656436e-03j,-4.269176e-02-6.876329e-03j,4.272239e-02+1.952828e-02j
1.875000e+01+0.000000e+00j,1.557195e-02+3.869638e-05j,-1.110274e-02-5.586524e-03j,6.187077e-03-2.361130e-03j,-8.861116e-03+3.270795e-03j,-1.928135e-02-3.372071e-03j,1.675950e-02+2.235957e-03j,-6.252811e-02-8.165376e-03j,7.660261e-02+7.068049e-03j
1.953100e+01+0.000000e+00j,1.281512e-02+6.381986e-04j,-1.540500e-02+1.082627e-03j,5.488988e-03-8.466504e-04j,-7.033383e-03+6.487947e-03j,-2.057627e-02-1.945031e-03j,1.923585e-02+1.318722e-03j,-6.578759e-02-3.562929e-03j,8.276884e-02-1.999989e-03j
2.031300e+01+0.000000e+00j,1.182326e-02-1.199983e-03j,-1.482359e-02-1.372534e-03j,4.576626e-03-4.438716e-04j,-4.735402e-03-2.250560e-03j,-2.059721e-02-1.530637e-03j,1.626688e-02+1.376347e-03j,-6.591829e-02-1.242678e-03j,5.447118e-02-2.864532e-02j
2.109400e+01+0.000000e+00j,1.252476e-02-3.954007e-04j,-1.464029e-02-1.440653e-03j,4.747318e-03-3.736554e-04j,-5.536191e-03+3.053621e-03j,-1.933346e-02+6.075783e-04j,1.846022e-02+2.883102e-03j,-6.960258e-02-2.429598e-04j,6.219229e-02-9.859748e-03j
2.187500e+01+0.000000e+00j,1.196133e-02+4.555564e-04j,-1.326462e-02-8.833604e-04j,4.483404e-03-1.639288e-04j,-5.272318e-03-1.343897e-03j,-1.832778e-02+8.956715e-05j,1.919585e-02+2.365116e-03j,-7.381230e-02-3.220689e-04j,6.819334e-02-4.007598e-03j
2.265600e+01+0.000000e+00j,1.177846e-02-1.125731e-04j,-1.325015e-02-1.503246e-04j,4.967640e-03+1.656182e-04j,-6.329498e-03+1.575775e-03j,-1.842282e-02-8.038525e-05j,1.917607e-02+1.384651e-03j,-7.566716e-02-5.282650e-04j,6.984150e-02-1.023540e-03j
2.343800e+01+0.000000e+00j,1.134803e-02+2.203573e-03j,-1.401339e-02-3.075916e-03j,5.553694e-03+6.109751e-04j,-5.874211e-03-1.322787e-04j,-1.861865e-02-2.957355e-04j,1.808593e-02+1.043430e-03j,-8.561674e-02+7.471660e-04j,8.308052e-02-6.423175e-04j
2.421900e+01+0.000000e+00j,1.261928e-02-1.345656e-04j,-1.334587e-02-2.822149e-03j,5.475158e-03+5.810182e-04j,-3.285698e-03-4.863617e-04j,-1.818853e-02+1.301566e-04j,2.023005e-02+2.807104e-04j,-9.277199e-02+1.927097e-03j,8.932873e-02-1.756531e-03j
2.500000e+01+0.000000e+00j,1.274727e-02-4.440529e-04j,-1.076976e-02+4.212626e-04j,5.544395e-03-5.033891e-04j,-6.982628e-03+1.428248e-03j,-1.907595e-02-3.929226e-04j,1.770494e-02-1.221159e-03j,-9.923716e-02+3.049306e-03j,9.845030e-02-3.569747e-03j
2.578100e+01+0.000000e+00j,1.223540e-02-1.210707e-04j,-1.605680e-02+1.960149e-03j,5.445645e-03-5.465139e-04j,-6.961770e-03+1.580398e-03j,-1.912886e-02+7.344991e-05j,1.795415e-02-4.278938e-03j,-1.089274e-01+6.967657e-03j,1.088084e-01-4.464548e-03j
2.656300e+01+0.000000e+00j,1.260198e-02+2.208701e-05j,-1.242736e-02-1.345654e-03j,5.858993e-03-9.361077e-06j,-5.793740e-03-2.241429e-03j,-1.928898e-02+3.939425e-04j,1.977718e-02+6.839988e-04j,-1.237108e-01+1.134565e-02j,1.229583e-01-9.567560e-03j
2.734400e+01+0.000000e+00j,1.309672e-02-6.922607e-04j,-1.201434e-02+2.731796e-03j,5.293223e-03-2.639475e-04j,-3.639534e-03-7.160275e-04j,-1.926694e-02+2.488662e-03j,1.854049e-02-2.754588e-03j,-1.338503e-01+2.815789e-02j,1.355685e-01-2.589786e-02j
2.812500e+01+0.000000e+00j,1.267776e-02-6.613736e-04j,-9.042191e-03-3.900472e-04j,6.777464e-03-4.295725e-05j,-9.244205e-03+1.543632e-03j,-1.708724e-02+2.587252e-03j,1.665938e-02-4.734233e-03j,-1.382172e-01+4.252117e-02j,1.419961e-01-4.208002e-02j
2.890600e+01+0.000000e+00j,1.207240e-02-2.516999e-03j,-1.279108e-02+8.482294e-03j,6.388383e-03+9.825471e-04j,-4.720202e-03+4.644834e-04j,-1.503225e-02+1.760564e-03j,1.206354e-02-1.621321e-03j,-1.173723e-01+5.235575e-02j,1.168795e-01-5.529613e-02j
2.968800e+01+0.000000e+00j,1.127600e-02-5.081265e-06j,-1.055841e-02+1.315120e-03j,6.364856e-03+6.735899e-04j,-5.367278e-03+1.580694e-03j,-1.619806e-02+6.958929e-04j,1.330724e-02-2.285047e-03j,-1.266180e-01+3.849363e-02j,1.266754e-01-3.969767e-02j
3.046900e+01+0.000000e+00j,1.140087e-02+5.351682e-05j,-1.278007e-02+3.168021e-04j,6.954818e-03+1.781585e-04j,-3.391640e-03-2.979231e-04j,-1.582094e-02-4.418051e-05j,1.401421e-02+1.359561e-03j,-1.500938e-01+2.066706e-02j,1.522374e-01-1.956931e-02j
3.125000e+01+0.000000e+00j,1.086747e-02-1.823840e-04j,-1.730853e-02-1.268805e-04j,6.429495e-03-5.135780e-05j,-6.986026e-03+1.294783e-03j,-1.586204e-02-1.744193e-04j,1.586406e-02-8.899105e-04j,-1.890109e-01+1.650307e-02j,1.940280e-01-1.554807e-02j
3.203100e+01+0.000000e+00j,1.124003e-02+9.123290e-04j,-1.287412e-02-2.092071e-03j,7.017962e-03-2.197023e-04j,-6.640901e-03+1.162606e-03j,-1.555639e-02+2.851176e-04j,1.530160e-02-8.465715e-04j,-2.411192e-01+2.062881e-02j,2.473461e-01-2.162954e-02j
3.281300e+01+0.000000e+00j,1.171210e-02+2.111832e-04j,-1.246907e-02-7.888573e-04j,6.766323e-03-9.569845e-05j,-6.221773e-03-2.098695e-03j,-1.498272e-02+1.961345e-04j,1.600031e-02+2.193789e-03j,-3.092094e-01+2.988242e-02j,3.180011e-01-2.877082e-02j
3.359400e+01+0.000000e+00j,1.077830e-02+3.182733e-04j,-1.328403e-02-3.246548e-04j,8.221437e-03-3.206039e-05j,-7.302153e-03-1.236350e-04j,-1.380731e-02+1.195843e-03j,1.448990e-02-1.353753e-03j,-4.320024e-01+5.971475e-02j,4.478311e-01-5.592875e-02j
3.437500e+01+0.000000e+00j,1.046497e-02+5.794580e-04j,-1.093053e-02+1.216397e-03j,7.367570e-03+5.992521e-04j,-8.436081e-03-1.047779e-03j,-1.337209e-02+4.599537e-04j,1.065656e-02-1.027743e-03j,-6.842526e-01+1.397103e-01j,7.205429e-01-1.463735e-01j
3.515600e+01+0.000000e+00j,1.018802e-02+8.078978e-04j,-1.197258e-02+1.003036e-04j,8.898517e-03+7.551283e-04j,-8.204380e-03+2.420905e-03j,-1.140876e-02-5.899213e-04j,1.157565e-02+6.866661e-04j,-1.661698e+00+8.909945e-01j,1.747713e+00-9.551803e-01j
3.593800e+01+0.000000e+00j,9.942238e-03-9.586327e-05j,-1.255392e-02-1.040944e-03j,9.530737e-03-1.551533e-04j,-1.034767e-02+1.940252e-03j,-9.680159e-03-4.497319e-04j,1.067152e-02+8.460139e-04j,1.524569e+00+1.168237e+00j,-1.631207e+00-1.214536e+00j
3.671900e+01+0.000000e+00j,9.616357e-03+4.439588e-04j,-1.066494e-02+2.941732e-04j,1.216487e-02-7.504717e-04j,-1.532888e-02+2.389476e-03j,-6.889912e-03-3.213045e-04j,7.098164e-03+5.846355e-04j,6.464015e-01+1.926884e-01j,-7.006662e-01-1.907608e-01j
3.750000e+01+0.000000e+00j,6.726586e-03+4.088468e-04j,-9.545781e-03-3.903337e-03j,1.649893e-02-7.723269e-04j,-1.803499e-02+2.582819e-03j,-2.166065e-05-1.465140e-03j,-2.313302e-03-4.786407e-04j,3.811772e-01+1.440273e-01j,-4.221690e-01-1.301988e-01j
3.828100e+01+0.000000e+00j,1.913207e-03+2.693338e-03j,-1.289641e-03-8.442391e-04j,2.744286e-02-2.931633e-03j,-2.606286e-02+3.523837e-03j,1.873108e-02-5.754202e-03j,-2.046350e-02+7.238469e-03j,2.951847e-01+1.682748e-01j,-3.276980e-01-1.421473e-01j
3.906300e+01+0.000000e+00j,-3.293939e-04+3.248233e-02j,-5.753415e-04-3.405114e-02j,1.614609e-02-5.485617e-02j,-6.758911e-03+6.632148e-02j,-1.077203e-02-1.090191e-01j,2.719436e-02+1.198125e-01j,3.363150e-01+1.679077e-01j,-3.395557e-01-1.338915e-01j
3.984400e+01+0.000000e+00j,3.005357e-02+5.883204e-03j,-3.125002e-02-6.539854e-03j,-2.875424e-02-1.230627e-02j,2.585929e-02+1.022380e-02j,-7.834124e-02-2.078644e-02j,7.229760e-02+1.811698e-02j,3.036832e-01+7.006054e-02j,-3.022434e-01-5.090363e-02j
4.062500e+01+0.000000e+00j,2.032359e-02+1.313591e-03j,-2.189231e-02-3.221063e-03j,-1.008323e-02-2.062455e-03j,1.013876e-02+2.248079e-03j,-4.650378e-02-3.415024e-03j,4.453509e-02+4.628887e-03j,2.498832e-01+2.855984e-02j,-2.522911e-01-1.892559e-02j
4.140600e+01+0.000000e+00j,1.808230e-02+7.293579e-04j,-1.831373e-02-1.274197e-03j,-4.557515e-03-1.166780e-03j,4.368537e-03+1.463303e-03j,-3.757110e-02-2.140020e-03j,3.629361e-02+2.946255e-03j,2.119209e-01+1.865026e-02j,-2.133080e-01-8.567335e-03j
4.218800e+01+0.000000e+00j,1.640576e-02+5.798681e-04j,-1.811635e-02-8.860371e-04j,-2.454307e-03-2.661897e-04j,3.450880e-03-3.618557e-04j,-3.310580e-02-1.185006e-03j,3.178694e-02+8.385328e-04j,1.844574e-01+1.362566e-02j,-1.803898e-01-3.810125e-03j
4.296900e+01+0.000000e+00j,1.554092e-02+1.834618e-04j,-1.533020e-02-1.879596e-03j,-6.008913e-04+1.337647e-04j,1.814283e-03-1.478766e-04j,-3.033918e-02-9.799499e-04j,3.210178e-02+1.883696e-03j,1.681683e-01+1.246933e-02j,-1.633449e-01-1.285552e-02j
4.375000e+01+0.000000e+00j,1.558679e-02+1.313106e-03j,-1.721765e-02+3.147607e-03j,-2.741757e-04-8.776433e-05j,3.272009e-04-2.053799e-03j,-2.900624e-02-3.999664e-04j,2.860495e-02-7.953112e-04j,1.515929e-01+1.026466e-02j,-1.485262e-01-1.095921e-02j
4.453100e+01+0.000000e+00j,1.479256e-02+3.625557e-04j,-1.680962e-02-8.868389e-04j,6.166054e-04+1.992532e-04j,-4.899150e-04-7.004514e-04j,-2.754978e-02-2.596582e-04j,2.837765e-02+4.966219e-04j,1.437182e-01+7.618981e-03j,-1.426164e-01-7.623973e-03j
4.531300e+01+0.000000e+00j,1.366999e-02-1.983321e-05j,-1.455398e-02+2.177703e-03j,1.236826e-03-5.607368e-04j,-5.498298e-04+1.949549e-03j,-2.691734e-02-1.104641e-03j,2.843644e-02+6.558403e-04j,1.325479e-01+5.691442e-03j,-1.320459e-01-3.780635e-03j
4.609400e+01+0.000000e+00j,1.377461e-02-7.312023e-04j,-1.323235e-02+1.278792e-03j,1.986291e-03-3.347402e-04j,1.420310e-03+6.027103e-04j,-2.570269e-02-9.963832e-04j,2.632535e-02-3.736796e-04j,1.217716e-01+3.434569e-03j,-1.189746e-01-3.946792e-03j
4.687500e+01+0.000000e+00j,1.281713e-02+2.187764e-04j,-1.568860e-02+4.820707e-04j,2.810078e-03+5.277194e-04j,-8.302981e-04+4.716750e-04j,-2.674828e-02-2.264922e-03j,2.658319e-02-3.101556e-04j,1.153790e-01+3.430214e-03j,-1.145255e-01-5.340790e-03j
4.765600e+01+0.000000e+00j,1.384941e-02+2.180425e-03j,-1.518688e-02-2.126268e-03j,2.082408e-03-2.811381e-04j,-2.155614e-03+8.400055e-04j,-2.807399e-02-1.461469e-03j,2.902341e-02+2.692114e-03j,1.090929e-01+1.931650e-03j,-1.100893e-01-1.537236e-03j
4.843800e+01+0.000000e+00j,1.432525e-02+1.287543e-03j,-1.397270e-02+4.195818e-04j,8.069450e-04-5.170762e-05j,-1.689838e-03+1.000989e-04j,-2.755870e-02-3.559524e-04j,2.420960e-02+1.397684e-04j,1.038393e-01+2.525628e-03j,-1.054853e-01-2.706960e-03j
